1,Tukul,0,5,25,20.00,25.00
2,Mouse,0,5,25,30.00,35.00
3,Keyboard,25,5,25,30.00,35.00
4,Headphone,25,5,25,100.00,105.00
5,Monitor,25,5,25,150.00,155.00
6,Cpu,25,5,25,700.00,705.00
7,Casing,25,5,25,100.00,105.00
8,Iphone11,25,5,25,4800.00,4899.00
9,HuaweiP20,25,5,25,1200.00,1299.00
10,GalaxyA80,25,5,25,2400.00,2499.00
11,Drone,25,5,25,5000.00,5100.00
12,GoPro,25,5,25,400.00,449.00
13,DashCam,25,5,25,150.00,205.00
14,Alexa,25,5,25,390.00,430.00
15,RGBFan,25,5,25,100.00,105.00
16,iWatch,25,5,25,800.00,849.00
17,Printer,25,5,25,192.00,200.00
18,Projector,25,5,25,100.00,129.00
19,PS4,25,5,25,1000.00,1100.00
20,Nintendo,25,5,25,1000.00,1100.00
21,ArcadeMini,25,5,25,890.00,999.00
22,Joystick,25,5,25,90.00,100.00
23,Rpi 4,25,5,25,240.00,269.00
24,Arduino,25,5,25,100.00,110.00
25,AdaFruit,21,5,25,120.00,130.00
